                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1628,                 4.5793,                 1.6211,                0.01707,                0.05648,                0.02399,                0.01507,                 1.0786,                 14.145,                  1.686,                8.4e-05,                8.4e-05,                8.4e-05
                      2,                0.93475,                 3.1161,                 1.4545,                 0.2077,                0.44551,                0.23997,                0.17196,                0.98062,                 4.4222,                 1.5763,              0.0001703,              0.0001703,              0.0001703
                      3,                0.90026,                 2.3888,                 1.3798,                0.36248,                0.55668,                0.43642,                0.30029,                 1.0136,                 3.1736,                 1.5975,             0.00025485,             0.00025485,             0.00025485
                      4,                0.89614,                 2.1039,                 1.3875,                0.42211,                0.52465,                 0.4619,                0.33882,                 1.0513,                 3.1112,                 1.6324,             0.00033766,             0.00033766,             0.00033766
                      5,                0.91527,                 1.7783,                 1.3667,                 0.4759,                0.59881,                0.50038,                0.34605,                 1.0791,                 3.5627,                 1.6656,             0.00038416,             0.00038416,             0.00038416
                      6,                0.91131,                 1.8507,                 1.3997,                0.41371,                0.44602,                 0.3982,                0.25419,                  1.184,                 3.3528,                 1.7364,             0.00038416,             0.00038416,             0.00038416
                      7,                0.85681,                 1.6129,                 1.3593,                 0.4955,                0.57534,                 0.5639,                 0.3863,                 1.1298,                 2.5103,                 1.6477,              0.0003802,              0.0003802,              0.0003802
                      8,                0.86965,                 1.5333,                 1.3359,                0.74392,                0.47965,                0.55849,                0.39977,                 1.0346,                 2.2124,                 1.6388,             0.00037624,             0.00037624,             0.00037624
                      9,                0.82524,                 1.4487,                 1.3133,                0.52788,                0.56476,                0.57468,                0.40742,                 0.9751,                 1.9535,                 1.5604,             0.00037228,             0.00037228,             0.00037228
                     10,                0.78506,                 1.2988,                 1.2887,                0.48125,                0.60278,                0.60579,                 0.4487,                0.97916,                 1.9896,                  1.532,             0.00036832,             0.00036832,             0.00036832
                     11,                  0.841,                  1.315,                 1.3193,                0.70882,                0.58202,                0.63776,                0.45107,                 1.0347,                  1.815,                 1.5658,             0.00036436,             0.00036436,             0.00036436
                     12,                 0.8464,                 1.3355,                   1.33,                0.46394,                0.73548,                0.62573,                0.44544,                0.97559,                 2.0353,                 1.5241,              0.0003604,              0.0003604,              0.0003604
                     13,                0.78937,                 1.2352,                 1.2896,                0.46902,                0.74019,                0.64066,                0.46777,                0.95165,                 1.7277,                 1.5007,             0.00035644,             0.00035644,             0.00035644
                     14,                0.77779,                 1.1701,                 1.2663,                0.66628,                 0.7466,                0.76036,                0.58489,                 0.8484,                 1.2702,                 1.3933,             0.00035248,             0.00035248,             0.00035248
                     15,                0.75635,                 1.1379,                 1.2544,                0.59389,                0.72274,                0.70861,                 0.5176,                 0.9638,                 1.4371,                 1.5144,             0.00034852,             0.00034852,             0.00034852
                     16,                0.73929,                 1.0344,                 1.2395,                0.60986,                 0.6927,                0.67188,                0.50758,                0.96521,                 1.4212,                 1.4535,             0.00034456,             0.00034456,             0.00034456
                     17,                0.77373,                 1.0813,                  1.255,                0.61513,                0.75762,                0.73465,                0.52899,                0.91168,                 1.3278,                 1.4293,              0.0003406,              0.0003406,              0.0003406
                     18,                 0.7265,                 1.0063,                 1.2279,                0.69087,                 0.7292,                0.70477,                0.55984,                0.88282,                 1.3739,                 1.4839,             0.00033664,             0.00033664,             0.00033664
                     19,                0.76327,                0.98647,                 1.2368,                0.63514,                0.68723,                0.70913,                0.53728,                0.92377,                 1.5323,                 1.4636,             0.00033268,             0.00033268,             0.00033268
                     20,                0.74494,                0.99763,                 1.2161,                0.63192,                0.76218,                 0.7343,                0.53976,                0.91533,                  1.455,                 1.4885,             0.00032872,             0.00032872,             0.00032872
                     21,                0.71505,                0.99746,                 1.2066,                0.65073,                 0.6697,                0.70296,                0.51316,                0.95989,                 1.5309,                 1.5046,             0.00032476,             0.00032476,             0.00032476
                     22,                0.69199,                0.93023,                 1.2004,                0.64479,                0.71901,                0.74201,                0.55882,                0.93285,                 1.2808,                  1.481,              0.0003208,              0.0003208,              0.0003208
                     23,                0.71313,                0.95838,                 1.2185,                 0.6512,                0.79566,                0.78791,                0.57196,                0.93305,                 1.2404,                 1.4734,             0.00031684,             0.00031684,             0.00031684
